0.500000,    1.64872127068736551436
0.600000,    1.82211880029485717714
0.700000,    2.01375270694458041731
0.800000,    2.22554092618768262213
0.900000,    2.45960310266210058217
1.000000,    2.71828180114638451315

0, 0,    1.64872127068736551436
1, 0,    1.82211880029485717714
2, 0,    2.01375270694458041731
3, 0,    2.22554092618768262213
4, 0,    2.45960310266210058217
5, 0,    2.71828180114638451315
0, 1,    2.08221509470609467130
1, 1,    2.10956966026944225945
2, 1,    2.11964681656613151972
3, 1,    2.10850983795047364211
4, 1,    2.07158505493567446365
0, 2,    2.11640830166027926751
1, 2,    2.11712752749195898261
2, 2,    2.11686257191221693930
3, 2,    2.11774103370417332570
0, 3,    2.11700765652001265948
1, 3,    2.11699504970208796095
2, 3,    2.11700898221087641105
0, 4,    2.11699977725880961188
1, 4,    2.11700027439288351871
0, 5,    2.11700002582584634325
